year,nature_of_employment,industry1,industry2,industry3,total_paid_hours,standard_hours,overtime_paid_hours
1993,full-time,manufacturing,medical and precision instruments,medical and precision instruments,46.6,42.4,4.2
1993,part-time,manufacturing,medical and precision instruments,medical and precision instruments,20.1,19.3,0.8
1993,full-time,manufacturing,transport equipment,transport equipment,52.8,43.9,8.9
1993,part-time,manufacturing,transport equipment,transport equipment,21.4,21,0.4
1993,full-time,manufacturing,other manufacturing industries,other manufacturing industries,50.5,43.8,6.7
1993,part-time,manufacturing,other manufacturing industries,other manufacturing industries,23.8,23.7,0.1
1993,full-time,construction,construction,construction,50.5,44.9,5.6
1993,part-time,construction,construction,construction,21.8,21.7,0.1
1993,full-time,services,wholesale and retail trade,wholesale trade,44.3,42.3,2
1993,part-time,services,wholesale and retail trade,wholesale trade,22.5,22.2,0.3
1993,full-time,services,wholesale and retail trade,retail trade,46.2,43.4,2.7
1993,part-time,services,wholesale and retail trade,retail trade,24.1,23.8,0.3
1993,full-time,services,hotels and restaurants,hotels,45.6,43.8,1.8
1993,part-time,services,hotels and restaurants,hotels,27.1,26.7,0.5
1993,full-time,services,hotels and restaurants,restaurants,45.5,44.3,1.2
1993,part-time,services,hotels and restaurants,restaurants,21.6,21.3,0.3
1993,full-time,services,"transport, storage and communications","transport, storage and communications",47.1,43.1,4
1993,part-time,services,"transport, storage and communications","transport, storage and communications",26.6,26.1,0.5
1993,full-time,services,financial intermediation,financial institutions,44.1,42.4,1.7
1993,part-time,services,financial intermediation,financial institutions,21,20.6,0.4
1993,full-time,services,financial intermediation,insurance and pension funding,40.9,39.9,1
1993,part-time,services,financial intermediation,insurance and pension funding,21.1,18.7,2.4
1993,full-time,services,business and real estate services,business and real estate services,45.3,42.5,2.8
1993,part-time,services,business and real estate services,business and real estate services,26.2,25.4,0.8
1993,full-time,services,"community, social and personal services","community, social and personal services",42.6,41.4,1.2
1993,part-time,services,"community, social and personal services","community, social and personal services",21.2,21.1,0.1
1993,full-time,others,others,others,45.9,44.1,1.9
1993,part-time,others,others,others,26.1,26.1,0.1
1994,full-time,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",47.4,43.4,4
1994,part-time,manufacturing,"food, beverages and tobacco","food, beverages and tobacco",21.6,21,0.6
1994,full-time,manufacturing,textile and wearing apparel,textile and wearing apparel,49.6,43.9,5.7
